Points;HC;SHC;TABU;SA;PT;GE;BEE;PSO;FF
200 q=0.5;0;0;0;1;0;1;0;1;1
400 q=0.5;0;0;0;2;2;2;0;2;7
200 q=0.6;1;1;1;1;1;1;0;1;2
400 q=0.6;0;0;0;3;3;1;1;1;3
200 q=0.7;1;0;0;1;1;1;0;1;2
400 q=0.7;0;1;0;2;3;1;1;1;4
