Points;HC;SHC;TABU;SA;PT;GE;BEE;PSO;FF
200 q=0.5;37;31;32;13;12;40;15;34;27
400 q=0.5;63;61;51;15;24;82;21;66;49
200 q=0.6;37;35;37;18;19;39;15;35;31
400 q=0.6;69;63;61;21;23;83;26;65;49
200 q=0.7;37;31;26;18;20;38;15;39;30
400 q=0.7;68;61;66;14;19;78;18;63;55
