Point;HC;SHC;TABU;SA;PT;GE;Bee;SWARM;FF
100;15,49;14,32;12,51;6,76;10,3;13,33;8,01;14,69;11,07
200;37,25;34,52;36,85;17,53;18,76;39,06;15,38;35;31,42
300;50,92;49,77;42,74;11,14;18,23;57,91;18,9;45,62;42,29
400;68,61;62,81;60,66;20,97;23,27;82,57;25,98;65,46;48,86
