Points;HC;SHC;TABU;SA;PT;GE;BEE;SWARM;FF
100;0,2;0,2;13,4;1,2;5,1;13,2;13,9;39,4;60,9
200;4,2;5,9;170,2;2,8;16,8;90,8;65,9;733,9;316,9
300;37,8;62,8;702,4;4,5;27,8;216,3;163,8;3714,8;902,1
400;155,5;248,4;1665;6,1;39,9;456,9;273,7;8610,9;1287,4
